Cluster analysis                                                                                   $yes$$yes$yes$no$no$no$$yes$no$yes$yes$yes$$yes$no$no$$no
Make a sudden, destructive unpredictable action; incorporate                                       $yes$$yes$yes$yes$yes$no$$yes$no$no$yes$yes$$yes$yes$no$$yes
What wouldn't you do?                                                                              $yes$$yes$no$yes$no$yes$$yes$yes$yes$yes$no$$no$no$yes$$no
Use ""unqualified"" people                                                                         $yes$$yes$no$yes$yes$no$$yes$no$yes$no$yes$$yes$no$no$$no
Twist the spine                                                                                    $no$$yes$yes$no$no$yes$$no$no$no$no$no$$yes$no$no$$yes
Assemble some of the instruments in a group and treat the group                                    $yes$$yes$yes$no$no$yes$$no$yes$yes$no$yes$$yes$no$no$$yes
Don't be frightened of cliches                                                                     $yes$$no$no$no$yes$no$$yes$yes$yes$yes$no$$no$yes$no$$no
Change nothing and continue with immaculate consistency                                            $no$$yes$no$yes$no$no$$no$yes$yes$no$yes$$yes$yes$no$$yes
Left channel, right channel, centre channel                                                        $yes$$no$yes$no$yes$no$$yes$no$yes$no$yes$$no$yes$no$$no
Twist the spine                                                                                    $no$$yes$yes$no$no$yes$$no$no$no$no$yes$$yes$no$no$$yes
